Row Run Speed   Expt
    1   1   850 1
    2   2   740 1
    3   3   900 1
    4   4   1070    1
    5   5   930 1
    6   6   850 1
    7   7   950 1
    8   8   980 1
    9   9   980 1
    10  10  880 1
    11  11  1000    1
    12  12  980 1
    13  13  930 1
    14  14  650 1
    15  15  760 1
    16  16  810 1
    17  17  1000    1
    18  18  1000    1
    19  19  960 1
    20  20  960 1
    21  1   960 2
    22  2   940 2
    23  3   960 2
    24  4   940 2
    25  5   880 2
    26  6   800 2
    27  7   850 2
    28  8   880 2
    29  9   900 2
    30  10  840 2
    31  11  830 2
    32  12  790 2
    33  13  810 2
    34  14  880 2
    35  15  880 2
    36  16  830 2
    37  17  800 2
    38  18  790 2
    39  19  760 2
    40  20  800 2
    41  1   880 3
    42  2   880 3
    43  3   880 3
    44  4   860 3
    45  5   720 3
    46  6   720 3
    47  7   620 3
    48  8   860 3
    49  9   970 3
    50  10  950 3
    51  11  880 3
    52  12  910 3
    53  13  850 3
    54  14  870 3
    55  15  840 3
    56  16  840 3
    57  17  850 3
    58  18  840 3
    59  19  840 3
    60  20  840 3
    61  1   890 4
    62  2   810 4
    63  3   810 4
    64  4   820 4
    65  5   800 4
    66  6   770 4
    67  7   760 4
    68  8   740 4
    69  9   750 4
    70  10  760 4
    71  11  910 4
    72  12  920 4
    73  13  890 4
    74  14  860 4
    75  15  880 4
    76  16  720 4
    77  17  840 4
    78  18  850 4
    79  19  850 4
    80  20  780 4
    81  1   890 5
    82  2   840 5
    83  3   780 5
    84  4   810 5
    85  5   760 5
    86  6   810 5
    87  7   790 5
    88  8   810 5
    89  9   820 5
    90  10  850 5
    91  11  870 5
    92  12  870 5
    93  13  810 5
    94  14  740 5
    95  15  810 5
    96  16  940 5
    97  17  950 5
    98  18  800 5
    99  19  810 5
    100 20  870 5
